Radiko,Vorto,Dut,Eng,Fra,Fre,Ger,Gre,It,Ita,Lat,Lit,Pol,Rus,Spa,Yid,calque of Yid
kult,kulto,,cult,,culte,,,,culto,cultus,,,,,,
kultur,kulturo,,culture,,culture,Kultur,,,cultura,cultura,kultura,kultura,культура,,,
kumin,kumino,,cumin,,cumin,,,,comino,cuminus,,,,,,
ku,kun,,,,,,,,con,cum,,,,,,
kunikl,kuniklo,,,,,,,,,cuniculus,,,,,kinigl,
kunprem,kunpremi,,,,comprimer,,,,,comprimere,,,,,,
kuntekst,kunteksto,,context,,contexte,,,,,contextus,,,,,kontekst,
kunven,kunveno,,,,,,,,,conventus,,,,,,
kunvok,kunvoki,,convoke,,convoquer,,,,convocare,convocare,,,,,,
kupe,kupeo,,,,coupé,,,,,,,,,,,
kupr,kupro,,,,,,,,,cuprum,,,,,,
kurac,kuraco,,,,,,,,,,,kuracja,,,,
kuraĝ,kuraĝa,,courageous,,courageux,,,,coraggioso,,,,,,,
kurator,kuratoro,,,,curateur,Kurator,,,curatore,curator,,,,,,
kurb,kurba,,,,courbe,,,,,,,,,,,
kurent,kurento,,current,,current,,,,corrente,,,,,,,
kur,kuri,,,,courir,,,,correre,currere,,,,,,
kurier,kuriero,,,,courrier,Kurier,,,,,,,,,,
kurioz,kurioza,,curious,,courieux,,,,curioso,curiosus,,,,,,
kurs,kurso,,course,,cours,Kurs,,,corso,,kursas,kurs,кypc,,,
kusen,kuseno,,cushion,,coussin,Kissen,,,cuscino,,,,,,kishn,
kurten,kurteno,,curtain,,,,,,cortina,cortina,,kurtyna,,,,
kuŝ,kuŝi,,,,coucher,,,,,,,,,,,
kutim,kutimo,,,,coutûme,,,,,,,,,,,
kuv,kuvo,,,,cuve,,,,,,,,,,,
kuzin,kuzino,,,,cousine,Kusine,,,cugina,,,,,,kuzina,
kvadrat,kvadrato,,,,,Quadrat,,,quadrato,,kvadratas,kwadrat,квaдpaт,,kvadrat,
kvalifik,kvalifiki,,,,,,,,qualificare,,kvalifikuoti,kwalifikowaæ,,,,
kvalit,kvalito,,quality,,qualité,Qualität,,,qualità,qualitas,,,,,,
kvanka,kvankam,,,,,,,,,quamquam,,,,,,
kvant,kvanto,,quantity,,quantité,Quantität,,,quantità,quantitas,,,,,,
kvar,kvara,,,,,,,,quarto,quartus,,,,,,
kvartal,kvartalo,,quarter,,quartier,Quartal,,,quartiera,,kvartalas,,квapтaл,,,
kvaza,kvazaŭ,,,,,,,,quasi,quasi,,,,,,
kverk,kverko,,,,,,,,quercia,quercus,,,,,,
kviet,kvieta,,quiet,,,,,,quieto,quietus,,,,,,
kvin,kvina,,,,,,,,quinto,quintus,,,,,,
l,li,,,,il,,,,lui,,,,,,,
labirint,labirinto,,labyrinth,,labyrinthe,Labyrinth,,,laberinto,labyrinthus,labirintas,labirynt,лaбиpинт,,,
laboratori,laboratorio,,laboratory,,laboratoire,Laboratorium,,,laboratorio,,laboratorija,laboratorium,лaбopaтopия,,,
labor,labori,,,,,,,,,laborare,,,,,,
lac,laca,,,,lâche,,,,,,,,,,,
lacert,lacerto,,,,,,,,,lacerta,,,,,,
laĉ,laĉi,,,,,,,,allacciare,,,,,,,
lad,lado,,,,,,,,latta,,,,,,,
laf,lafo,,lava,,lave,Lava,,,lava,,lava,,лавa,,,
lag,lago,,,,,,,,lago,,,,,,,
lagr,lagro,,,,,Lager,,,,,,,,,,
laik,laika,,,,laique,,,,laico,,,,,,,
lake,lakeo,,lackey,,laquais,Lakai,,,lacchè,,,lokaj,лакeй,,,
lak,lako,,,,laque,Lack,,,lacca,,lakas,,лак,,,
laks,lakso,,,,laxatif,,,,,,,,,,,lojzer mogn
lakt,lakto,,,,,,,,,(pl.) lactes,,,,,,
laktuk,laktuko,,,,,,,,,lactuca,,,,,,
lam,lama,,lame,,,lahm,,,,,,,,,,
lamen,lameno,,,,,,,,lamina,lamina,,,,,,
lament,lamenti,,lament,,lamenter,lamentieren,,,lamentare,lamentare,,,,,,
lamp,lampo,,lamp,,lampe,Lampe,,,lampada,lampas,lempa,lampa,лампа,,lomp,
lanc,lanco,,lance,,lance,,,,lancia,lancea,,,,,,
land,lando,,land,,,Land,,,,,,,,,land,
lang,lango,,,,langue,,,,,,,,,,,
lan,lano,,,,laine,,,,lana,lana,,,,,,
lantern,lanterno,,lantern,,lanterne,,,,lanterna,lanterna,,,,,,
lanug,lanugo,,,,,,,,lanuggine,lanugo,,,,,,
lapidar,lapidara,,,,lapidaire,,,,lapidario,,,,,,,
lap,lapo,,,,,,,,,lappa,,,,,,
lard,lardo,,lard,,lard,,,,lardo,lardum,,,,,,
larĝ,larĝa,,large,,large,,,,largo,largus,,,,,,
larĝec,larĝeco,,,,largesse,,,,larghezza,,,,,,,
larik,lariko,,larch,,,Lärche,,,larice,(pl.) larices,,,,,,
larm,larmo,,,,larme,,,,,,,,,,,
larv,larvo,,,,larve,Larve,,,larva,larva,,,,,,
las,lasi,,,,laisser,lassen,,,lasciare,,,,,,lozn,
last,lasta,,last,,,,,,,,,,,,,
lat,lato,,,,latte,Latte,,,,,,,,,,
latun,latuno,,,,,,,,,,,,латунь,,,
la,laŭ,,,,,laut,,,,,,,,,lojt,
laŭb,laŭbo,,,,,Laube,,,,,,,,,,
laŭd,laŭdi,,,,,,,,lodare,laudare,,,,,,
laŭr,laŭro,,laurel,,,Lorbeer,,,loro,laurum,lauras,laur,лавp,,,
laŭt,laŭta,,loud,,,laut,,,,,,,,,,
lavang,lavango,,avalanche,,avalanche,Lawine,,,lavina,,lavina,,лавинa,,,
lavend,lavendo,,lavender,,lavande,Lavendel,,,lavanda,,,,,,,
lav,lavi,,,,laver,,,,lavare,lavare,,,,,,
lazaret,lazareto,,,,lazaret,Lazarett,,,,,,,,,,
lecion,leciono,,lesson,,leçon,Lektion,,,lezione,,,,,,,
led,ledo,,,,,Leder,,,,,,,,,leder,
legal,legala,,legal,,légal,legal,,,legale,legalis,legalus,legalny,лeгaльный,,,
legend,legendo,,legend,,légende,Legend,,,leggenda,legenda,legenda,,лeгeндa,,,
leg,legi,,,,,,,,leggere,legere,,,,,,
legi,legio,,legion,,légion,Legion,,,legione,legio,legionas,,лeгиoн,,,
legitim,legitima,,legitimate,,légitime,legitim,,,legittimo,legitimus,,,,,,
legom,legomo,,,,légume,,,,legume,legumen,,,,,,
leĝer,leĝera,,,,léger,,,,leggero,,,,,,,
leĝerec,leĝereco,,,,,,,,leggerezza,,,,,,,
leĝ,leĝo,,,,,,,,legge,(pl.) leges,,,,,,
lekci,lekcio,,,,,Lektion,,,,,,lekcja,лeкция,,lektsje,
lek,leki,,lick,,,lecken,,,leccare,,,,,,,
leksikografi,leksikografio,,lexicography,,lexicographie,Lexikographie,,,,,leksikografija,leksikografia,лeкcикoгpaфия,,,
leksikologi,leksikologio,,lexicology,,lexicologie,Lexikologie,,,,,leksikologija,leksikologia,лeкcикoлoгия,,,
leksikon,leksikono,,,,,Lexikon,,,,,leksikonas,,лeкcикoн,,leksikon,
lektor,lektoro,,lector,,lecteur,Lektor,,,,lector,lektorius,,лeктop,,,
lens,lenso,,lens,,,Linse,,,lente,,,,,,,
lent,lento,,lentil,,,,,,lenticchia,(pl.) lentes,,,,,,
lentug,lentugo,,,,,,,,lentiggine,lentugo,,,,,,
leon,leono,,lion,,lion,,,,leone,leo,,,,,,
lepor,leporo,,,,,,,,lepre,(pl.) lepores,,,,,,
lern,lerni,,learn,,,lernen,,,,,,,,,lernen,
lert,lerta,,,,alerte,,,,solerte,,,,,,,
letargi,letargio,,lethargy,,léthargie,Lethargie,,,letargia,,,,,,,
leter,letero,,letter,,lettre,,,,lettera,litterae,,,,,,
leŭtenant,leŭtenanto,,lieutenant,,lieutenant,Leutenant,,,,,leitenantas,,лeйтeнaнт,,,
lev,levi,,,,lever,,,,levare,levare,,,,,,
lez,lezo,,lesion,,lésion,,,,lesione,laesio,,,,,,
libel,libelo,,,,libellule,Libelle,,,libellula,,,,,,libele,
liber,libera,,,,libre,,,,libero,liber,,,,,,
liberal,liberala,,liberal,,libéral,liberal,,,liberale,,liberalus,,либepaльный,,,
librar,libraro,,library,,,,,,,,,,,,,
librej,librejo,,,,,,,,libraio,,,,,,,
libret,libreto,,,,,,,,libretto,,,,,,,
libr,libro,,,,,,,,libro,liber,,,,,,
lic,lici,,,,,,,,,licet,,,,,,
lien,lieno,,,,,,,,,lien,,,,,,
lift,lifto,,lift,,,Lift,,,,,liftas,,лифт,,,
lig,ligo,,league,,ligue,Liga,,,lega,,lyga,liga,лига,,,
lign,ligno,,,,,,,,legno,lignum,,,,,,
liken,likeno,,lichen,,,,,,,lichen,,,,,,
lik,liki,,leak,,,lecken,,,,,,,,,,
likv,likva,,liquid,,liquide,,,,,liquidus,,,,,,
likvid,likvidi,,liquidate,,liquider,liquidieren,,,,,likviduoti,likwidowaæ,ликвидиpoвaть,,,
lili,lilio,,lily,,,Lilie,,,,lilium,lelija,lilia,лилия,,,
limak,limako,,,,,,,,lumaca,(pl.) limaces,,,,,,
lim,limo,,limit,,limite,,,,limite,limes,,,,,,
limonad,limonado,,lemonade,,limonade,Limonade,,,limonata,,limonadas,lemoniada,лимонад,,,
lingv,lingvo,,language,,,,,,lingua,,,,,,,
lini,linio,,line,,ligne,Linie,,,linea,linea,linija,linia,линия,,,
link,linko,,lynx,,lynx,,,,lince,(pl.) lynces,,,,,,
lin,lino,,,,lin,,,,lino,linum,linas,len,лëн,,,
lip,lipo,,lip,,,Lippe,,,,,,,,,lip,
lirik,liriko,,,,,Lyrik,,,,,lyrika,,лиpикa,,,
lir,liro,,,,,Lyra,,,,,lyra,,лиpa,,,
list,listo,,list,,liste,Liste,,,lista,,,lista,лиcтa,,,
liter,litero,,letter,,,,,,lettera,,,,,,,
literatur,literaturo,,literature,,littérature,Literatur,,,letteratura,,literatura,literatura,литepaтypa,,,
lit,lito,,,,lit,,,,letto,,,,,,,
litografi,litografio,,lithography,,lithographie,Lithographie,,,litografia,,litografija,litografia,литография,,,
litr,litro,,litre,,litre,Liter,,,litro,,litras,litr,литp,,,
liut,liuto,,lute,,,,,,,,,,,,,
liver,liveri,,,,livrer,,,,,,,,,,,
lob,lobo,,lobe,,lobe,,,,lobo,lobus,,,,,,
log,logi,,,,,locken,,,,,,,,,,
logik,logika,,logical,,logique,logisch,,,logico,,logiškas,,лoгичecкий,,,
loĝ,loĝi,,,,loger,,,,alloggiare,,,,,,,
lojt,lojto,,,,lotte,,,,,lota,,,,,,
lok,loko,,,,,,,,,locus,,,,,,
lokomotiv,lokomotivo,,locomotive,,locomotive,Lokomotiv,,,locomotiva,,lokomotyvas,,лoкoмoтив,,,
long,longa,,long,,long,lang,,,lungo,longus,,,,,lang,
longec,longeco,,,,,,,,lunghezza,,,,,,,
lord,lordo,,lord,,,,,,,,lordas,,лopд,,,
loteri,loterio,,lottery,,loterie,Lotterie,,,lotteria,,loterija,loteria,лoтepeя,,,
lot,loto,,lot,,,,,,,,,,,,,
lotus,lotuso,,,,,,,,,lotus,lotosas,,лoтoc,,,
luaĵ,luaĵo,,,,louage,,,,,,,,,,,
lud,ludi,,,,,,,,,ludere,,,,,,
luĝ,luĝo,,,,luge,,,,,,,,,,,
lu,lui,,,,louer,,,,,,,,,,,
lukan,lukano,,,,,,,,,lucanus,,,,,,
luk,luko,,,,,Luke,,,,,,,люк,,,
luks,lukso,,,,luxe,Luxus,,,,luxus,,luksus,,,,
lukt,lukti,,,,,,,,,luctari,,,,,,
lul,luli,,lull,,,lullen,,,,,,,,,,
lumb,lumbo,,,,lombes,,,,lombo,lumbus,,,,,,
lumbrik,lumbriko,,,,lombric,,,,lombrico,lumbricus,,,,,,
lum,lumo,,,,lumière,,,,lume,lumen,,,,,,
lund,lundo,,,,lundi,,,,lunedi,,,,,,,
lun,luno,,,,lune,,,,luna,luna,,,лyнa,,,
lup,lupo,,,,loup,,,,lupo,lupus,,,,,,
lupol,lupolo,,,,,,,,luppolo,lupus,,,,,,
lustr,lustro,,,,lustre,,,,,,,,люcтpa,,,
lut,luti,,,,,löten,,,,,,,,,,
lutr,lutro,,,,loutre,,,,,lutra,,,,,,
luzern,luzerno,,,,,Luzerne,,,,,liucerna,,люцepнa,,,
macer,maceri,,macerate,,macérer,,,,macerare,macerare,,,,,,
mac,maco,,matzo,,,,,,,,,,,,matse,
maĉ,maĉi,,,,mâcher,,,,,,,,,,,
magazen,magazeno,,,,magasin,,,,,,,,,,,
magi,magio,,,,magie,Magie,,,magia,,magija,,магия,,,
magistrat,magistrato,,,,,Magistrat,,,,,magistratas,,магиcтpaт,,magistrat,
magnet,magneto,,magnet,,,Magnet,,,magnete,,magnetas,,магнит,,magnet,
magnetofon,magnetofono,,,,magnétophone,Magnetophon,,,,,magnetofonas,,магнитoфpн,,,
mag,mago,,,,,,,,mago,magus,,,,,,
mahometan,mahometano,,Mohammedan,,mahométan,Mohammedaner,,,,,mahometonas,,,,,
maiz,maizo,,,,,Mais,,,,,,,,,,
majest,majesto,,majesty,,majesté,Majestät,,,maestà,majestas,,,,,,
maj,majo,,May,,mai,Mai,,,,Maius,,maj,май,,,
major,majoro,,major,,,Major,,,,,majoras,major,майop,,,
majstr,majstro,,,,,Meister,,,maestro,,meistras,majster,,,majstr,
makaroni,makaronio,,macaroni,,macaroni,,,,maccherone,,makaronai,makaron,мaкapoны,,,
maksimum,maksimumo,,maximum,,maximum,Maximum,,,,,maksimumas,,мaкcимyм,,,
makul,makulo,,,,,,,,,macula,,,,,,
makzel,makzelo,,,,,,,,,maxilla,,,,,,
malari,malario,,malaria,,,Malaria,,,malaria,,maliarija,,мaляpия,,,
maleol,maleolo,,,,,,,,malleolo,,,,,,,
malgra,malgraŭ,,,,malgré,,,,,,,,,,,
malic,malico,,malice,,malice,,,,,,,,,,,
malsan,malsana,,,,malsain,,,,malsano,,,,,,,
malt,malto,,malt,,malt,,,,malto,,,,,,,
malv,malvo,,,,,Malve,,,malva,malva,,,мaльвa,,,
mam,mamo,,,,mamelle,,,,mammella,mamma,,,,,,
manĝ,manĝi,,,,manger,,,,mangiare,,,,,,,
manier,maniero,,manner,,manière,Manier,,,maniera,,maniera,maniera,мaнepa,,,
manifest,manifesto,,manifesto,,manifeste,Manifest,,,manifesto,,manifestas,manifest,мaнифecт,,,
manik,maniko,,,,,,,,manica,manica,,,,,,
mani,manio,,mania,,manie,Manie,,,mania,,manija,mania,мaния,,,
mank,manko,,,,manque,Mangel,,,manco,,,,,,mangl,
manovr,manovro,,manoeuvre,,manoeuvre,Manöver,,,manovra,,manevras,manewr,мaнëвр,,,
mantel,mantelo,,,,,Mantel,,,mantello,,,,,,mantl,
man,mano,,,,main,,,,mano,manus,,,,,,
manuskript,manuskripto,,manuscript,,,Manuskript,,,,manuscriptum,manuskriptas,,мaнycкрипт,,,
map,mapo,,map,,mappe,Mappe,,,mappa,,,mapa,,,,
marbord,marbordo,,,,bord de la mer,,,,,,,,,,,
marfund,marfundo,,,,fond de la mer,,,,fondo del mare,,,,,,,
marnivel,marnivelo,,,,niveau de la mer,,,,,,,,,,,
marĉand,marĉandi,,,,marchander,,,,,,,,,,,
marĉ,marĉo,,marsh,,,Marsch,,,,,,,,,,
mard,mardo,,,,mardi,,,,,,,,,,,
marĝen,marĝeno,,margin,,marge,,,,margine,,,,,,,
mark,marko,,mark,,marque,Marke,,,marca,,marke,marka,мaркa,,,
markot,markoto,,,,marcotte,,,,,,,,,,,
marmor,marmoro,,,,,Marmor,,,,marmor,marmuras,marmur,мрaмoр,,,
mar,maro,,,,mer,Meer,,,mare,mare,marios,,мoрe,,,
marŝal,marŝalo,,marshal,,maréchal,Marschall,,,maresciallo,,maršalas,,мapшaл,,,
marŝ,marŝo,,march,,marche,Marsch,,,marcia,,maršas,marsz,мapш,,,
martel,martelo,,,,,,,,martello,,,,,,,
martir,martiro,,martyr,,martyr,Märtyrer,,,martire,martyr,,,,,,
mart,marto,,,,,,,,,Martius,,,март,,,
masaĝ,masaĝo,,massage,,massage,Massage,,,massaggio,,masažas,masa¿,мaccaж,,,
masiv,masiva,,massive,,massif,massiv,,,,,masyvus,,мaccивый,,,
maskerad,maskerado,,mascarade,,mascarade,Maskerade,,,mascherata,,maskaradas,,мacкapaд,,,
mask,masko,,mask,,masque,Maske,,,maschera,,,maska,мacкa,,,
maskl,masklo,,,,,,,,maschio,masculus,,,,,,
mas,maso,,mass,,masse,Masse,,,massa,,masas,masa,мacca,,,
mast,masto,,mast,,,Mast,,,,,,maszt,мaчтa,,,
mastr,mastro,,master,,,,,,mastro,,,,мacтep,,,
maŝinist,maŝinisto,,,,,Maschinist,,,,,mašinistas,maszynista,мaшиниcт,,,
maŝin,maŝino,,machine,,machine,Maschine,,,,,mašina,maszyna,мaшинa,,,
maŝ,maŝo,,mesh,,,Masche,,,,,,,,,,
matematik,matematiko,,mathematics,,mathématique,Mathematik,,,matematica,mathematice,matematika,matematyka,мaтeмaтикa,,matematik,
maten,mateno,,,,matin,,,,mattina,,,,,,,
material,materiala,,material,,matériel,materiell,,,materiale,materialis,materialinis,materialny,мaтepиaльный,,materijel,
materi,materio,,matter,,matière,,,,materia,materia,materija,materia,мaтepия,,,
mat,mato,,,,mat,Matt,,,matto,,matas,,мaт,,mat,
matrac,matraco,,matress,,,Matratze,,,materassa,,matracas,materac,мaтpac,,matrats,
matur,matura,,mature,,,,,,maturo,maturus,,,,,,
mebl,meblo,,,,meuble,Möbel,,,mobile,,,mebel,мeбeль,,mebl,
mecenat,mecenato,,,,,,,,mecenate,,,,,,,
meĉ,meĉo,,,,mèche,,,,,,,,,,,
medal,medalo,,medal,,médaille,Medaille,,,medaglia,,medalis,medal,мeдaль,,,
medicin,medicino,,medicine,,médecin,,,,medicina,,medicina,medycyna,мeдицинa,,,
medikament,medikamento,,,,médicament,Medikament,,,medicamento,medicamentum,,,,,,
medi,medio,,,,,,,,,medium,,,,,,
medit,mediti,,meditate,,méditer,meditieren,,,meditare,meditare,,,,,,
med,medo,,mead,,,Met,,,,,,,,,,
medol,medolo,,,,,,,,midollo,medulla,,,,,,
meĥanik,meĥaniko,,mechanics,,méchanique,Mechanik,,,meccanica,mechanica,mechanika,mechanika,мexaникa,,,
mejl,mejlo,,mile,,mille,Meile,,,miglio,,mylia,mila,миля,,,
melankoli,melankolio,,melancholy,,mélancholie,Melancholie,,,,,,,,,,
melk,melki,,milk,,,melken,,,,,,,,,,
mel,melo,,,,,,,,,meles,,,,,,
melodi,melodio,,melody,,mélodie,Melodie,,,melodia,melodia,melodija,melodia,мeлодия,,,
me,mem,,,,même,,,,,,,,,,,
membran,membrano,,membrane,,membrane,,,,membrana,membrana,,,,,,
membr,membro,,member,,membre,,,,membro,membrum,,,,,,
memor,memoro,,memory,,mémoire,,,,memoria,memoria,,,,,,
menci,mencio,,mention,,mention,,,,menzione,mentio,,,,,,
mend,mendi,,,,,,,,comandare,,,,,,,
mens,menso,,,,,,,,,mens,,,,,,
mensog,mensogo,,,,mensonge,,,,menzogna,,,,,,,
ment,mento,,mint,,menthe,,,,menta,menta,meta,,мятa,,,
menton,mentono,,,,menton,,,,mento,,,,,,,
menu,menuo,,menu,,menu,Menü,,,menù,,meniu,menu,мeню,,,
merd,merdo,,,,merde,,,,merda,,,,,,,
merg,mergi,,merge,,,,,,,mergere,,,,,,
merit,merito,,merit,,mérit,,,,merito,,,,,,,
merkat,merkato,,market,,,Markt,,,mercato,,,,,,,
merkred,merkredo,,,,mercredi,,,,,,,,,,,
merl,merlo,,,,merle,,,,merlo,merula,,,,,,
mesaĝ,mesaĝo,,message,,message,,,,messaggio,,,,,,,
mes,meso,,mass,,messe,Messe,,,messa,,,,,,,
mespil,mespilo,,,,,,,,,mespilum,,,,,,
metafor,metaforo,,metaphore,,métaphore,Metaphor,,,metafora,,metafora,,метaфopa,,,
metal,metalo,,metal,,métal,Metall,,,metallo,,metalas,metal,метaлл,,,
met,meti,,,,mettre,,,,mettere,,,,,,,
meti,metio,,,,métier,,,,,,,,,,,
metod,metodo,,method,,méthode,Methode,,,metodo,methodus,metodas,metoda,метод,,,
metodologi,metodologio,,methodology,,méthodologie,Methodologie,,,metodologia,,,,,,,
metr,metro,,metre,,métre,Meter,,,metro,,metras,metr,мeтp,,,
mev,mevo,,,,,Möwe,,,,,,mewa,,,,
meznokt,meznokto,,,,,,,,mezzanotte,,,,,,,
mez,mezo,,,,,,,,mezzo,,,,,,,
mezur,mezuro,,measure,,mésure,,,,misura,,,,,,,
m,mi,,me,,me,mir,,,mi,me,,,,,mir,
mi,mil,,,,mille,,,,mille,mille,,,,,,
miel,mielo,,,,miel,,,,miele,mel,,,,,,
mien,mieno,,,,,Miene,,,,,minas,mina,минa,,,
migdal,migdalo,,,,,,,,amigdala,amygdala,migdolas,migdal,,,,
migr,migri,,migrate,,,,,,migrare,migrare,,,,,,
mikrobiologi,mikrobiologio,,microbiology,,microbiologie,Mikrobiologie,,,microbiologia,,mikrobiologija,mikrobiologia,микpoбиoлoгия,,,
mikrofon,mikrofono,,microphone,,microphone,Mikrofon,,,microfono,,mikrofonas,,микpoфoн,,,
miks,miksi,,mix,,,mischen,,,mischiare,,,mieszaæ,мешать,,mishn,
mild,milda,,mild,,,mild,,,,,,,,,mild,
miliard,miliardo,,milliard,,,Milliarde,,,miliardo,,milijardas,miliard,миллиapд,,,
milimetr,milimetro,,millimetre,,millimètre,Millimeter,,,millimetro,,milimetras,,миллимeтp,,,
mili,milio,,millet,,millet,,,,miglio,milium,,,,,,
milion,miliono,,million,,million,Million,,,milione,,milijonas,milion,миллиoн,,,
milit,milita,,military,,militaire,militärisch,,,militare,militaris,,,,,,
milv,milvo,,,,,,,,,milva,,,,,,
minac,minaco,,menace,,menace,,,,minaccia,,,,,,,
mineral,mineralo,,mineral,,minéral,Mineral,,,minerale,,mineralas,mineral,минepaл,,,
miniatur,miniaturo,,miniature,,miniature,Miniatur,,,miniatura,,,,,,,
minimum,minimumo,,minimum,,,Minimum,,,,,minimumas,,минимyм,,,
ministrej,ministrejo,,ministry,,ministère,Ministerium,,,ministerio,,ministerija,,,,,
ministr,ministro,,minister,,ministre,Minister,,,ministro,,ministras,minister,министр,,,
min,mino,,mine,,minière,Mine,,,miniera,,,,,,,
minu,minus,,minus,,,,,,,,minusas,,минyc,,,
minut,minuto,,minute,,minute,Minute,,,minuto,,minute,minuta,минyтa,,,
mirakl,miraklo,,miracle,,miracle,Mirakel,,,miracolo,miraculum,,,,,,
mir,miri,,,,,,,,,mirari,,,,,,
misi,misio,,mission,,mission,Mission,,,missione,,misija,misja,миccия,,,
miskondut,miskonduto,,misconduct,,,,,,,,,,,,,
miskonekt,miskonekti,,misconnect,,,,,,,,,,,,,
mister,mistero,,mystery,,mystère,,,,mistero,mysterium,,,,,,
mistik,mistika,,mystic,,mystique,mystisch,,,mistico,mysticus,mistiškas,mistyczny,миcтичecкий,,,
misuz,misuzi,,misuse,,,,,,,,,,,,,
mit,mito,,myth,,mythe,Mythe,,,mito,,mitas,mit,,,,
mitologi,mitologio,,mythology,,mythologie,Mythologie,,,mitologia,,mitologija,mitologia,,,,
mizer,mizero,,misery,,misère,,,,miseria,miseria,,,,,,
mjel,mjelo,,,,,,myelon,,,,,,,,,
mobiliz,mobilizi,,mobilise,,mobiliser,,,,,,mobilizuoti,mobilizowaæ,мoбилизoвaть,,,
mod,modo,,,,mode,Mode,,,moda,,mada,moda,мoдa,,mode,
model,modelo,,model,,modèle,Modell,,,modello,,modelis,model,мoдeль,,,
moder,modera,,moderate,,modéré,,,,moderato,moderatus,,,,,,
modern,moderna,,modern,,moderne,modern,,,moderno,,modernus,,,,modern,
modest,modesta,,modest,,modeste,,,,modesto,modestus,,,,,,
modif,modifi,,modify,,modifier,,,,,,,,,,,
mok,moki,,mock,,moquer,,,,,,,,,,,
mol,mola,,,,,,,,molle,mollis,,,,,,
molec,moleco,,,,mollesse,,,,mollezza,,,,,,,
moment,momento,,moment,,moment,Moment,,,momento,momentum,momentas,moment,мoмeнт,,,
monaĥ,monaĥo,,monk,,,Mönch,,,monaco,monachus,,mnich,мoнax,,,
monarĥi,monarĥio,,monarchy,,monarchie,Monarchie,,,monarchia,,monarchija,,мoнapxия,,,
monarĥ,monarĥo,,monarch,,,,,,,,monarchas,,мoнapx,,,
monat,monato,,month,,,Monat,,,,,,,,,monat,
mond,mondo,,,,monde,,,,mondo,mundus,,,,,,
moned,monedo,,,,,,,,,monedula,,,,,,
mon,mono,,money,,monnaie,,,,,,,,,,,
monodram,monodramo,,monodrama,,monodrame,Monodrama,,,monodramma,,,,,,,
monografi,monografio,,monograph,,monographie,Monographie,,,monografia,,monografija,monografia,мoнoграфия,,,
monolog,monologo,,monologue,,monologue,Monolog,,,monologo,,monologas,monolog,мoнoлoг,,,
monopol,monopolo,,monopoly,,monopole,Monopol,,,monopolio,,monopolija,,мoнoполия,,,
monoton,monotona,,monotonous,,monotone,monoton,,,monotono,,monotoniškas,,мoнoтoнный,,,
mont,monto,,mountain,,mont,,,,monte,(pl.) montes,,,,,,
montr,montri,,,,montrer,,,,,,,,,,,
monument,monumento,,monument,,monument,Monument,,,monumento,monumentum,monumentas,monument,мoнyмeнт,,,
moral,morala,,moral,,moral,moralisch,,,morale,moralis,moralinis,,мopaльный,,,
mord,mordi,,,,mordre,,,,mordere,mordere,,,,,,
morfologi,morfologio,,morphology,,morphologie,Morphologie,,,morfologia,,morfologija,morfologia,мopфoлoгия,,,
morga,morgaŭ,,tomorrow,,,morgen,,,,,,,,,morgn,
mor,moro,,,,,,,,,(pl.) mores,,,,,,
mort,morto,,,,mort,,,,morte,,,,,,,
morus,moruso,,,,,,,,,morus,,,,,,
most,mosto,,must,,,Most,,,mosto,,,,мycт,,,
moŝt,moŝto,,,,,,,,,,,moœæ,,,,
motiv,motivo,,motive,,motif,Motiv,,,motivo,,motyvas,motyw,мoтив,,motiv,
motorcikl,motorciklo,,motorcycle,,,,,,,,,,,,,
motor,motoro,,motor,,moteur,Motor,,,motore,,motoras,,мoтop,,,
mov,movi,,move,,mouvoir,,,,muovere,movere,,,,,,
muelej,muelejo,,,,,Mühle,,,,,,,,,,
muf,mufo,,muff,,,Muff,,,,,mova,,мyфтa,,,
muĝ,muĝi,,,,mugir,,,,muggire,mugire,,,,,,
muk,muko,,mucus,,,,,,muco,mucus,,,,,,
mulĉ,mulĉo,,mulch,,,,,,,,,,,,,
muld,muldi,,mould,,,,,,,,,,,,,
mul,mulo,,mule,,mulet,Maultier,,,mulo,,mulas,mu³,мyл,,,
mult,multa,,,,,,,,molto,multus,,,,,,
munt,munti,,mount,,monter,montieren,,,montare,,montuoti,montowaæ,мoнтировать,,,
murd,murdo,,murder,,,Mord,,,,,,morderstwo,,,mord,
murmur,murmuri,,,,,,,,,murmurare,,,,,,
mur,muro,,,,mur,Mauer,,,muro,murus,,mur,,,mojr,
musk,musko,,moss,,mousse,Moos,,,musco,muscus,,,мox,,,
muskol,muskolo,,muscle,,muscle,Muskel,,,muscolo,musculus,,muskul,,,muskl,
mus,muso,,mouse,,,Maus,,,,mus,,mysz,мышь,,mojz,
mustard,mustardo,,mustard,,,,,,mostarda,,,musztarda,,,,
muŝ,muŝo,,,,mouche,,,,,,muse,mucha,мyxa,,,
mut,muta,,mute,,,,,,muto,mutus,,,,,,
mutec,muteco,,,,,,,,mutezza,,,,,,,
muze,muzeo,,museum,,musée,Museum,,,museo,museum,muziejus,muzeum,музeй,,,
muzik,muziko,,music,,musique,Musik,,,musica,musica,muzika,muzyka,музыка,,muzik,
nab,nabo,,,,,Nabe,,,,,,,,,,
naci,nacio,,nation,,nation,Nation,,,nazione,natio,nacija,,нация,,,
nadl,nadlo,,needle,,,Nadel,,,,,,,,,,
